"San José State University, Department of Chemistry, One Washington Square, San José, CA, United States.",37.3351874,-121.8810715,2
"Department of Chemistry, Brandeis University, Waltham, Massachusetts 02254, USA.",42.364989,-71.258663,103
"Department of Chemistry, University of Louisville, Louisville, KY 40292, USA.",38.216133,-85.75933060000001,1
"Department of Physics, Applied Physics, and Astronomy, Rensselaer Polytechnic Institute, Troy, New York 12180, USA.",42.7288158,-73.6803851,1
"Instituto de Tecnologia Química e Biológica, Universidade Nova de Lisboa, Apartado 127, P-2781-901 Oeiras, Portugal.",38.695218,-9.309438,3
"Structural Biochemistry Group Institute of Cell and Molecular Biology The University of Edinburgh Michael Swann Building, King's Buildings Mayfield Road, Edinburgh, EH9 3JR (UK).",55.9223197,-3.172338,1
"Photosynthesis Research Center, Key Laboratory of Photobiology, Institute of Botany, Chinese Academy of Sciences, 20 Nanxincun, Haidian District, Beijing 100093, China",39.990632,116.209808,2
"Department of Applied Biosciences, Federal Institute of Technology of Zurich, Winterthurerstrasse 190, 8057 Zurich, Switzerland.",47.3984854,8.5504907,1
"Department of Medical Biochemistry and Biophysics, Karolinska Institute, Stockholm, Sweden.",59.34814839999999,18.0236579,390
"Department of Pharmacology, Thomas Jefferson University, Philadelphia, PA 19107, USA.",39.9489094,-75.15595309999999,79
"School of Life Science and Biotechnology, Kyungpook National University, Daegu 702-701, Korea.",35.8900521,128.6113282,49
"Institute for Cell Biology, University of Bonn, D-53121 Bonn, Germany European Molecular Biology Laboratory-Hamburg/Deutsches Elektronen-Synchrotron, D-22603 Hamburg, Germany Department of Medicinal Immunology, Charité-University Medicine Berlin, D-13353 Berlin, Germany Department of Neurology, Neuromuscular Center Ruhrgebiet, University Hospital Bergmannsheil, Ruhr-University Bochum, D-44789 Bochum, Germany.",51.4684288,7.2113632,1
"Graduate College of Biomedical Sciences, Western University of Health Sciences, 309 E. Second Street, Pomona, CA 91766, USA.",34.057971,-117.7454166,1
"Institut de Biologie Moléculaire et Cellulaire du Centre National de la Recherche Scientifique, Modélisation et Simulations des Acides Nucléiques, UPR 9002, Université Louis Pasteur, 15 Rue René Descartes, 67084 Strasbourg Cedex, France.",48.5804804,7.7631299,10
"Department of Chemistry, P.O. Box 30012, Texas A&M University, College Station, TX 77842-3012, USA.",30.617915,-96.34019599999999,31
"Department of Biochemistry and Molecular Biology, McKnight Brain Institute and University of Florida, Gainesville, FL 32610, USA.",29.6418301,-82.34324579999999,3
"Department of Medicinal Chemistry, University of Minnesota, 308 Harvard Street S.E., 8-101 Weaver-Densford Hall, Minneapolis, Minnesota 55455-0353, USA.",44.9733754,-93.2310088,20
"Istituto di Chimica delle Macromolecole, Lab. NMR, CNR, Via Ampère 56, 20131 Milano, Italy, and Dipartimento di BioTecnologie e Bioscienze, Università di Milano-Bicocca, Pza delle Scienze 2, 20126 Milano, Italy.",45.518383,9.213452,7
"Department of Chemistry, University College London, UK.",51.5254062,-0.1322953,2
"Institut für Immungenetik Universitätsklinikum Charité, Humboldt-Universität zu Berlin, Spandauer Damm 130, Berlin, D-14050, Germany.",52.521033,13.4027739,6
"Dept. of Biochemistry and Biophysics, Iowa State University, Ames 50011, USA.",42.0309876,-93.6498089,126
